1E60 1460488_1483485_1E60.c [["NumFunctions/length", "4.274731e-05"], ["avgParams", "1.896552e-01"], ["stdDevNumParams", "8.993656e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.156250e+00"]] 
1E60 1460488_1483488_1E60.c [["NumFunctions/length", "4.601265e-05"], ["avgParams", "1.774194e-01"], ["stdDevNumParams", "8.711171e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.132353e+00"]] 
1E60 1460488_1595491_1E60.c [["NumFunctions/length", "3.782650e-05"], ["avgParams", "2.173913e-01"], ["stdDevNumParams", "1.261119e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.133333e+00"]] 
1E60 2270488_2449486_1E60.c [["NumFunctions/length", "4.149759e-05"], ["avgParams", "1.967213e-01"], ["stdDevNumParams", "9.887842e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.149254e+00"]] 
1E60 2270488_2453486_1E60.c [["NumFunctions/length", "4.009145e-05"], ["avgParams", "2.153846e-01"], ["stdDevNumParams", "1.183116e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.140845e+00"]] 
1E60 2270488_2463486_1E60.c [["NumFunctions/length", "3.981416e-05"], ["avgParams", "2.203390e-01"], ["stdDevNumParams", "1.120953e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.138462e+00"]] 
1E60 2974486_5709773144064000_1E60.c [["NumFunctions/length", "5.016320e-05"], ["avgParams", "2.068966e-01"], ["stdDevNumParams", "1.012995e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.140625e+00"]] 
1E60 2974486_5756407898963968_1E60.c [["NumFunctions/length", "4.475660e-05"], ["avgParams", "1.904762e-01"], ["stdDevNumParams", "9.735737e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.130435e+00"]] 
abhinav1203 1460488_1483485_abhinav1203.c [["NumFunctions/length", "4.239722e-05"], ["avgParams", "1.803279e-01"], ["stdDevNumParams", "8.779297e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.149254e+00"]] 
abhinav1203 1460488_1483488_abhinav1203.c [["NumFunctions/length", "4.654647e-05"], ["avgParams", "2.203390e-01"], ["stdDevNumParams", "9.218220e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.147059e+00"]] 
abhinav1203 1460488_1595491_abhinav1203.c [["NumFunctions/length", "4.574478e-05"], ["avgParams", "1.833333e-01"], ["stdDevNumParams", "8.849043e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.149254e+00"]] 
abhinav1203 2270488_2449486_abhinav1203.c [["NumFunctions/length", "4.719292e-05"], ["avgParams", "1.746032e-01"], ["stdDevNumParams", "8.644602e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.130435e+00"]] 
abhinav1203 2270488_2453486_abhinav1203.c [["NumFunctions/length", "4.399268e-05"], ["avgParams", "1.746032e-01"], ["stdDevNumParams", "8.644602e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.144928e+00"]] 
abhinav1203 2270488_2463486_abhinav1203.c [["NumFunctions/length", "4.409359e-05"], ["avgParams", "2.000000e-01"], ["stdDevNumParams", "9.966611e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.147059e+00"]] 
abhinav1203 2974486_5709773144064000_abhinav1203.c [["NumFunctions/length", "4.512377e-05"], ["avgParams", "1.896552e-01"], ["stdDevNumParams", "8.993656e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.156250e+00"]] 
abhinav1203 2974486_5756407898963968_abhinav1203.c [["NumFunctions/length", "4.749198e-05"], ["avgParams", "1.718750e-01"], ["stdDevNumParams", "8.579534e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.128571e+00"]] 
alan790712 1460488_1483485_alan790712.c [["NumFunctions/length", "4.265650e-05"], ["avgParams", "1.833333e-01"], ["stdDevNumParams", "8.849043e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.147059e+00"]] 
alan790712 1460488_1483488_alan790712.c [["NumFunctions/length", "4.537115e-05"], ["avgParams", "2.000000e-01"], ["stdDevNumParams", "8.805593e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.120000e+00"]] 
alan790712 1460488_1595491_alan790712.c [["NumFunctions/length", "4.402850e-05"], ["avgParams", "1.718750e-01"], ["stdDevNumParams", "8.579534e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.142857e+00"]] 
alan790712 2270488_2449486_alan790712.c [["NumFunctions/length", "4.576306e-05"], ["avgParams", "1.692308e-01"], ["stdDevNumParams", "8.515909e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.140845e+00"]] 
alan790712 2270488_2453486_alan790712.c [["NumFunctions/length", "4.689731e-05"], ["avgParams", "1.791045e-01"], ["stdDevNumParams", "9.451427e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.136986e+00"]] 
alan790712 2270488_2463486_alan790712.c [["NumFunctions/length", "4.635867e-05"], ["avgParams", "1.692308e-01"], ["stdDevNumParams", "8.515909e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.136986e+00"]] 
alan790712 2974486_5709773144064000_alan790712.c [["NumFunctions/length", "4.829127e-05"], ["avgParams", "2.063492e-01"], ["stdDevNumParams", "1.086113e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.130435e+00"]] 
alan790712 2974486_5756407898963968_alan790712.c [["NumFunctions/length", "4.671618e-05"], ["avgParams", "1.617647e-01"], ["stdDevNumParams", "8.333189e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.133333e+00"]] 
Ankzz 1460488_1483485_Ankzz.c [["NumFunctions/length", "4.289636e-05"], ["avgParams", "1.904762e-01"], ["stdDevNumParams", "9.735737e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.144928e+00"]] 
Ankzz 1460488_1483488_Ankzz.c [["NumFunctions/length", "4.683419e-05"], ["avgParams", "1.904762e-01"], ["stdDevNumParams", "9.735737e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.144928e+00"]] 
Ankzz 1460488_1595491_Ankzz.c [["NumFunctions/length", "4.563623e-05"], ["avgParams", "1.875000e-01"], ["stdDevNumParams", "9.662266e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.128571e+00"]] 
Ankzz 2270488_2449486_Ankzz.c [["NumFunctions/length", "4.479043e-05"], ["avgParams", "1.692308e-01"], ["stdDevNumParams", "8.515909e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.140845e+00"]] 
Ankzz 2270488_2453486_Ankzz.c [["NumFunctions/length", "4.559597e-05"], ["avgParams", "1.666667e-01"], ["stdDevNumParams", "8.453677e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.111111e+00"]] 
Ankzz 2270488_2463486_Ankzz.c [["NumFunctions/length", "4.253607e-05"], ["avgParams", "1.935484e-01"], ["stdDevNumParams", "9.810907e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.132353e+00"]] 
Ankzz 2974486_5709773144064000_Ankzz.c [["NumFunctions/length", "4.316785e-05"], ["avgParams", "1.904762e-01"], ["stdDevNumParams", "9.735737e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.130435e+00"]] 
Ankzz 2974486_5756407898963968_Ankzz.c [["NumFunctions/length", "4.396147e-05"], ["avgParams", "1.643836e-01"], ["stdDevNumParams", "9.068038e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.126582e+00"]] 
born2code 1460488_1483485_born2code.c [["NumFunctions/length", "4.055133e-05"], ["avgParams", "2.068966e-01"], ["stdDevNumParams", "1.012995e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.156250e+00"]] 
born2code 1460488_1483488_born2code.c [["NumFunctions/length", "4.363865e-05"], ["avgParams", "2.372881e-01"], ["stdDevNumParams", "1.030698e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.138462e+00"]] 
born2code 1460488_1595491_born2code.c [["NumFunctions/length", "4.480043e-05"], ["avgParams", "1.864407e-01"], ["stdDevNumParams", "8.920473e-01"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.153846e+00"]] 
born2code 2270488_2449486_born2code.c [["NumFunctions/length", "4.568168e-05"], ["avgParams", "2.295082e-01"], ["stdDevNumParams", "1.219963e+00"], ["nestingdepth", "6"], ["avgbranchingfactor", "1.149254e+00"]] 
